year,month,Row Labels,Sum of Administered,Sum of Administered_Janssen,Sum of Administered_Moderna,Sum of Administered_Pfizer,Sum of Administered_Unk_Manuf,Sum of Series_Complete_Yes,Sum of Series_Complete_Pop_Pct,Sum of Series_Complete_Janssen,Sum of Series_Complete_Moderna,Sum of Series_Complete_Pfizer,Sum of Series_Complete_Unk_Manuf,All other conditions_with_covid,Alzheimer disease_with_covid,Circulatory diseases_with_covid,COVID-19,Diabetes_with_covid,"Intentional and unintentional injury, poisoning_with_covid",Malignant neoplasms_with_covid,Obesity_with_covid,Renal failure_with_covid,Respiratory diseases_with_covid,Sepsis_with_covid,Vascular and unspecified dementia_with_covid,COVID_Death_count,Sum of Natural Cause,Sum of Septicemia,Sum of Malignant neoplasms,Sum of Diabetes mellitus,Sum of Influenza and pneumonia,Sum of Alzheimer,Sum of Chronic lower respiratory,Sum of Other diseases of respiratory system,Sum of Nephritis,Sum of not elsewhere classified,Sum of Diseases of heart ,Sum of Cerebrovascular diseases
2021,4,Kentucky,80916185,2709769,36982922,41216265,7229,34140752,764.2,2635624,14842439,16657373,5316,120,0,106,227,25,0,10,0,12,221,13,27,761,3645,85,793,124,43,113,253,59,87,104,822,177
2021,4,Louisiana,71964950,2431796,32743677,36761395,28082,30835638,663.3,2336943,12653164,15831840,13691,45,0,21,169,0,0,0,0,0,134,0,0,369,3444,75,724,140,63,155,161,75,74,74,934,232
2021,4,Maine,28867062,1721003,12996181,14147072,2806,12246939,911.2,1712345,5054408,5479400,786,0,0,0,50,0,0,0,0,0,0,0,0,50,1061,0,280,114,106,130,47,99,113,94,244,158
2021,4,Maryland,115755405,4656523,51268263,59758248,72371,47235218,781.3,4523748,19822887,22868187,20396,264,0,292,534,111,0,27,15,82,437,41,18,1821,3908,71,786,122,77,114,139,71,57,106,948,250
2021,4,Massachusetts,147923265,5136349,66436202,76348476,2238,57294192,831.5,5150489,24932606,27210691,406,121,0,61,256,0,0,10,0,25,236,12,11,732,4060,60,925,107,78,117,144,71,102,57,876,173
2021,4,Michigan,175611001,5617357,78357499,91610171,25974,73561681,736.7,5717918,31368869,36464009,10885,595,10,862,1717,176,0,94,97,164,1797,113,34,5659,8361,69,1582,255,95,297,389,93,154,100,2006,441
2021,4,Minnesota,108348835,4737812,47571545,56032874,6604,45739131,810.9,4796006,18664802,22276654,1669,159,0,143,268,39,0,11,0,11,250,0,14,895,3222,91,790,125,106,154,154,54,113,65,596,190
2021,4,Mississippi,42021229,1203401,20577646,20215440,24742,17817878,598.6,1176101,8470629,8170542,606,72,0,62,163,12,0,0,0,0,111,0,0,420,2365,91,508,100,68,108,156,99,82,104,591,133
2021,4,Missouri,100071150,2919861,40518128,56623138,10023,40002804,651.9,2943873,15589778,21467663,1490,82,0,0,206,0,0,0,0,0,154,0,0,442,4721,78,1051,141,55,154,278,119,134,76,1198,266
2021,4,Montana,19684961,552659,9623023,9504363,4916,8358362,782,543632,3973609,3839637,1484,10,0,0,22,0,0,0,0,0,0,0,0,32,721,68,174,149,106,219,193,99,85,126,179,156
2021,4,Nebraska,36280578,1289063,15884429,19042402,64684,15071967,779.2,1300405,6308932,7444536,18094,24,0,0,55,0,0,0,0,0,0,0,0,79,1251,91,274,87,106,140,73,99,113,126,280,78
2021,4,Nevada,52159116,1785582,22114342,28259192,0,20717779,672.4,1764980,8342293,10610400,106,71,0,21,143,12,0,0,0,0,173,0,0,420,1989,68,432,82,74,96,109,99,97,126,524,117
2021,4,New Hampshire,29811304,1157476,13310994,15342024,810,10409789,766,1188788,4834424,4386276,301,0,0,0,24,0,0,0,0,0,0,0,0,24,841,68,180,117,79,219,153,99,85,126,197,158
2021,4,New Jersey,179286807,6627375,80265450,92379732,14250,74580511,839.7,6674898,31484645,36420428,540,434,0,729,1009,114,0,48,29,138,1248,148,24,3921,6072,150,1127,156,88,186,189,135,133,122,1339,286
2021,4,New Mexico,46808183,1202836,20842178,24704186,58983,19421522,926.3,1178310,7891691,10335342,16179,0,0,0,58,0,0,0,0,0,13,0,0,71,1467,91,275,89,89,59,67,99,113,112,332,66
2021,4,New York,384613586,14380120,169532628,200635653,65185,156361518,803.7,14159232,65029636,77159433,13217,639,0,1187,1939,173,0,94,10,103,1776,128,79,6128,12415,140,2425,319,254,259,419,198,217,298,3030,517
2021,4,North Carolina,178401009,5989983,75535476,96865680,9870,72432857,690.5,5902542,28550757,37978704,854,172,0,52,385,28,0,0,0,40,422,11,10,1120,7110,105,1511,317,103,294,327,119,171,138,1470,446
2021,4,North Dakota,15115673,572536,6722503,7820634,0,6334175,831.3,504629,2723071,3106462,13,0,0,0,21,0,0,0,0,0,0,0,0,21,496,91,120,185,53,174,244,74,113,94,102,209
2021,4,Ohio,209398214,7426151,92916270,108873016,182777,86399082,738.9,7200871,36803372,42342345,52494,305,0,344,659,63,0,25,0,38,653,45,37,2169,8906,144,1832,321,108,306,419,149,173,162,2254,525
2021,4,Oklahoma,71474282,1765317,33029903,36678113,949,29276916,739.9,1747425,12785295,14743643,553,75,0,40,152,11,0,0,0,0,69,0,0,347,2855,79,617,106,92,94,182,84,113,126,888,135
2021,4,Oregon,74328488,2326878,33551042,38409381,41187,30004099,711.5,2303984,13081179,14611858,7078,44,0,10,105,0,0,0,0,0,37,0,0,196,2796,91,665,102,79,137,139,88,97,61,576,178
2021,4,Pennsylvania,244098739,7856851,106884932,129350882,6074,94032182,734.6,8002475,37859563,48165115,5029,544,0,767,1228,150,21,92,54,154,1462,108,43,4623,10028,178,2090,309,114,296,400,159,234,173,2376,539
2021,4,Rhode Island,22397527,886295,9925873,11584721,638,9461354,893.4,881150,4027037,4553067,100,0,0,0,48,0,0,0,0,0,0,0,0,48,709,68,172,185,53,219,244,99,113,94,183,211
2021,4,South Carolina,82783371,2514476,32653057,47584278,31560,33276316,646.1,2446304,11861109,18962726,6177,182,0,95,317,10,0,0,0,48,356,26,0,1034,3801,52,764,126,89,179,193,61,61,89,854,218
2021,4,South Dakota,18351219,468563,8610597,9271669,390,7900782,893.3,469709,3622287,3808605,181,0,0,0,20,0,0,0,0,0,0,0,0,20,574,91,122,185,106,174,244,50,113,0,123,210
2021,4,Tennessee,102166047,2830410,45720891,53483393,131353,39588828,579.8,2769204,17046573,19735102,37949,220,0,212,491,51,0,14,11,46,517,39,10,1611,5763,93,1133,203,84,207,335,79,103,92,1442,286
2021,4,Texas,471869283,15984056,210598667,245266212,20348,182315277,628.7,15656200,76716621,89926428,16028,615,31,889,1437,257,25,70,107,204,1633,174,53,5495,16101,277,3152,578,222,719,678,225,327,201,3906,920
2021,4,Utah,53508686,2049506,23613641,27845539,0,17329410,540.9,1969739,7006774,8352895,2,12,0,0,46,0,0,0,0,0,0,0,0,58,1329,91,273,68,106,60,54,74,113,126,325,68
2021,4,Vermont,13542515,531956,6157240,6842072,11247,5410330,866.8,521775,2257961,2626934,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,407,91,103,139,26,219,183,50,28,63,115,199
2021,4,Virginia,162676797,5480160,70079133,87076160,41344,64022891,750.1,5455619,26392813,32161808,12651,164,0,77,468,25,0,0,0,38,379,12,12,1175,5529,63,1090,212,62,179,249,91,97,369,1187,294
2021,4,Washington,142756404,4782163,62143987,75735487,94767,58186372,764.1,4785313,23874305,29505693,21061,140,0,49,213,25,0,0,10,10,222,12,0,681,4288,78,1022,180,77,253,183,60,113,63,973,222
2021,4,West Virginia,31490821,505529,15215573,15769719,0,13576687,757.7,528042,6238758,6808499,1388,55,0,0,128,0,0,0,0,0,73,0,0,256,1707,91,347,73,106,54,86,99,64,101,400,77
2021,4,Wisconsin,115771552,4234365,50489801,61035027,12359,47530440,816.5,4085148,19395311,24044710,5271,96,10,109,183,33,0,0,0,0,90,0,21,542,3649,78,835,125,89,148,170,64,65,90,918,193
2021,4,Wyoming,9475760,292816,4623740,4554410,4794,4069168,703.2,273104,1875915,1919365,784,0,0,0,0,0,0,0,0,0,0,0,0,0,317,45,97,185,106,219,244,50,57,31,70,265
2021,5,Alabama,88502987,2740741,42485483,43276763,0,41076044,837.8,2799510,18536771,19737454,2309,78,0,0,196,0,0,0,0,10,143,0,0,427,5144,102,996,128,80,256,318,104,110,129,1396,279
2021,5,Alaska,18161934,542575,8050053,9566608,2698,8541967,1167.5,503263,3685376,4352585,743,0,0,0,0,0,0,0,0,0,0,0,0,0,399,45,96,232,53,219,305,50,142,126,86,331
2021,5,Arizona,172702645,5144987,75745783,91695419,116456,74686354,1026,4955763,30949892,38742469,38230,97,0,37,221,0,0,0,0,22,253,0,0,630,5700,101,1197,211,75,259,318,89,83,82,1348,273
2021,5,Arkansas,60579508,1896033,28621917,30046118,15440,26992653,894.5,1851997,12410980,12725938,3738,26,0,0,81,0,0,0,0,0,58,0,0,165,3057,93,616,137,101,141,211,95,89,138,774,164
2021,5,California,1081002629,38123702,464187104,578559663,132160,462260589,1170.1,37808527,189350219,235068033,33810,282,10,625,674,142,0,37,23,79,784,94,19,2769,24122,148,5593,1051,360,1465,1043,273,397,521,5665,1703
2021,5,Colorado,158566545,5247251,69916291,83360781,42222,71744001,1245.6,5179267,30502000,36050601,12133,164,0,91,310,47,0,10,0,35,335,24,11,1027,3647,101,743,108,132,170,225,70,93,157,734,204
2021,5,Connecticut,114210111,4351366,45837472,64011984,9289,52386107,1469.2,4354413,20111283,27918220,2191,32,0,0,111,0,0,0,0,0,52,0,0,195,2702,84,595,109,101,96,100,88,81,118,626,134
2021,5,Delaware,26641471,1157782,10766359,14708890,8440,11696108,1201.2,1139361,4359703,6193080,3964,0,0,0,10,0,0,0,0,0,0,0,0,10,890,113,233,232,106,230,157,99,142,94,189,67
2021,5,District of Columbia,21888145,708275,8609453,12566767,3650,8518407,1207.1,824807,3176233,4514544,2823,0,0,10,24,0,0,0,0,0,0,0,0,34,516,68,109,232,132,164,305,99,85,126,114,331
